customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,total_active_services,is_month_to_month,has_auto_payment,support_security_bundle,avg_total_charge_per_month,charge_gap_vs_average,monthly_charge_log,total_charge_log,monthly_x_tenure,charge_per_service,tenure_inverse,has_internet,has_fiber,fiber_no_security,fiber_no_support,fiber_no_security_support,month_to_month_fiber,electronic_check_m2m,short_tenure_high_charge,new_customer,very_low_tenure,very_long_tenure,streaming_count,backup_protection_count,support_count,risk_service_gap_count,contract_commitment_score,payment_risk_score,contract_x_tenure,contract_x_monthly,support_x_fiber,services_x_tenure,is_senior_m2m,dependents_partner_score,paperless_echeck,no_protection_services,internet_service_group,payment_contract_group,tenure_band,tenure_bucket,monthly_charge_band,tenure_charge_band,churn_probability,risk_tier,intervention_candidate,recommended_action,recommendation_rationale,Churn
4376-KFVRS,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,8,0,1,1,117.6138888888889,-3.563888888888897,4.745366816481375,9.044191332181782,8211.6,14.25625,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,1,2,2,2,0,2,1,144,228.1,2,576,0,2,0,0,Fiber optic_Two year,Credit card (automatic)_Two year,49-72 months,49-72,premium,49-72_premium,0.060577701894275915,low,False,Pricing and bundle review,High monthly charges may create price sensitivity; review plan fit or targeted discount.,0
2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,5,1,1,0,113.56875,-13.418749999999989,4.6166045636137545,6.812949971708225,801.2,20.03,0.1111111111111111,1,1,1,0,0,1,0,1,0,0,0,2,0,1,3,0,1,0,0.0,1,40,1,0,0,0,Fiber optic_Month-to-month,Credit card (automatic)_Month-to-month,0-12 months,7-12,premium,7-12_premium,0.7655728783167159,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
9917-KWRBE,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,6,0,1,0,78.32195121951219,0.02804878048780779,4.373868446972418,8.074711339628797,3212.35,13.058333333333332,0.023809523809523808,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,41,78.35,0,246,0,2,0,0,DSL_One year,Credit card (automatic)_One year,25-48 months,25-48,high,25-48_high,0.08207629220764869,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
0365-GXEZS,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,3,1,0,0,81.59722222222223,-3.3972222222222257,4.37197629882038,7.292847597282364,1407.6000000000001,26.066666666666666,0.05263157894736842,1,1,1,0,0,1,1,0,0,0,0,0,1,1,2,0,3,0,0.0,1,54,0,1,0,0,Fiber optic_Month-to-month,Electronic check_Month-to-month,13-24 months,13-24,high,13-24_high,0.2941392129390574,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
9385-NXKDA,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,7,0,1,0,82.21319444444445,0.43680555555555145,4.426641427432833,8.686150847752058,5950.8,11.807142857142859,0.0136986301369863,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,1,144,165.3,0,504,0,1,0,0,DSL_Two year,Credit card (automatic)_Two year,49-72 months,49-72,high,49-72_high,0.02769211926395393,low,False,Pricing and bundle review,High monthly charges may create price sensitivity; review plan fit or targeted discount.,0
4686-UXDML,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,5,1,1,0,94.88333333333333,4.966666666666669,4.613634264400221,7.597672248021797,2096.85,19.97,0.045454545454545456,1,1,1,1,1,1,0,0,0,0,0,2,1,0,3,0,1,0,0.0,0,105,0,0,0,0,Fiber optic_Month-to-month,Credit card (automatic)_Month-to-month,13-24 months,13-24,premium,13-24_premium,0.5663762205915847,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
2227-JRSJX,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,5,1,1,0,93.16190476190476,5.988095238095241,4.606669062111827,7.5793723409917195,2082.15,19.830000000000002,0.045454545454545456,1,1,1,0,0,1,0,0,0,0,0,2,1,1,2,0,1,0,0.0,1,105,0,0,0,0,Fiber optic_Month-to-month,Bank transfer (automatic)_Month-to-month,13-24 months,13-24,premium,13-24_premium,0.41056990202480115,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
4830-FAXFM,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,2,1,1,0,23.11578947368421,0.9842105263157919,3.2228678461377385,6.087229169092361,457.90000000000003,12.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0,38,0,1,0,1,No_Month-to-month,Credit card (automatic)_Month-to-month,13-24 months,13-24,low,13-24_low,0.1159339845630649,low,False,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
1830-IPXVJ,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,1,0,1,0,21.501639344262294,-1.7516393442622942,3.0325462466767075,7.179765182039622,1204.75,19.75,0.016129032258064516,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,122,39.5,0,61,0,2,0,1,No_Two year,Credit card (automatic)_Two year,49-72 months,49-72,low,49-72_low,0.00924183083577642,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
4690-LLKUA,Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,1,1,0,0,45.32941176470588,-0.279411764705884,3.829727762701316,6.648466281031574,765.8499999999999,45.05,0.05555555555555555,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0.0,0,17,1,0,1,1,DSL_Month-to-month,Electronic check_Month-to-month,13-24 months,13-24,moderate,13-24_moderate,0.33253171230816075,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
5804-HYIEZ,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,6,1,0,0,107.915,-1.865000000000009,4.6732960150356915,8.929971492818627,7423.5,17.675,0.014084507042253521,1,1,0,1,0,1,1,0,0,0,1,2,1,1,2,0,3,0,0.0,1,420,0,2,1,0,Fiber optic_Month-to-month,Electronic check_Month-to-month,49-72 months,49-72,premium,49-72_premium,0.29048136034313654,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
2388-LAESQ,Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,8,0,1,1,115.52708333333334,-0.6770833333333428,4.752296250878385,9.026291323928044,8269.199999999999,14.35625,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,1,2,2,2,0,2,1,144,229.7,2,576,0,1,0,0,Fiber optic_Two year,Bank transfer (automatic)_Two year,49-72 months,49-72,premium,49-72_premium,0.06541975432011184,low,False,Pricing and bundle review,High monthly charges may create price sensitivity; review plan fit or targeted discount.,0
5533-RJFTJ,Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,1,1,1,0,29.655102040816324,0.5448979591836753,3.4404180948154366,7.28214243151944,1479.8,30.2,0.02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0.0,0,49,0,0,0,0,DSL_Month-to-month,Bank transfer (automatic)_Month-to-month,49-72 months,49-72,low,49-72_low,0.22056964101460252,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
4706-AXVKM,Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,3,1,1,0,82.44090909090909,2.3590909090909093,4.4520190064939165,6.811079166716676,932.8,28.266666666666666,0.08333333333333333,1,1,1,1,1,1,0,1,0,0,0,1,0,0,4,0,1,0,0.0,0,33,1,0,0,1,Fiber optic_Month-to-month,Credit card (automatic)_Month-to-month,0-12 months,7-12,high,7-12_high,0.6490425779275653,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
0997-YTLNY,Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,2,1,0,0,50.19210526315789,-1.3921052631578945,3.9080149840306073,6.861344781159474,927.1999999999999,24.4,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0.0,0,38,0,1,0,0,DSL_Month-to-month,Mailed check_Month-to-month,13-24 months,13-24,moderate,13-24_moderate,0.12969908012072837,low,False,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
7971-HLVXI,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,3,0,1,0,85.15069444444445,-0.6506944444444542,4.448516375942715,8.721251777852979,6084.0,28.166666666666668,0.0136986301369863,1,1,1,1,1,0,0,0,0,0,1,1,0,0,4,2,1,144,169.0,0,216,0,2,0,1,Fiber optic_Two year,Credit card (automatic)_Two year,49-72 months,49-72,high,49-72_high,0.06128340040621905,low,False,Pricing and bundle review,High monthly charges may create price sensitivity; review plan fit or targeted discount.,0
7337-CINUD,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,1,0,1,0,19.91875,-0.4187499999999993,3.0204248861443626,5.077358926139164,156.0,19.5,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,16,39.0,0,8,0,2,0,1,No_Two year,Bank transfer (automatic)_Two year,0-12 months,7-12,low,7-12_low,0.012948583923502744,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
1379-FRVEB,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,4,1,0,0,95.33666666666666,-4.336666666666659,4.5217885770490405,7.266163719547021,1365.0,22.75,0.0625,1,1,1,1,1,1,1,0,0,0,0,1,1,0,3,0,3,0,0.0,0,60,0,1,1,0,Fiber optic_Month-to-month,Electronic check_Month-to-month,13-24 months,13-24,premium,13-24_premium,0.6358758193241054,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
4753-PADAS,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,6,0,1,0,101.7455223880597,3.9544776119403053,4.670021158307708,8.827314119142065,7081.900000000001,17.616666666666667,0.014705882352941176,1,1,1,1,1,0,0,0,0,0,1,2,2,0,2,1,1,67,105.7,0,402,0,1,0,0,Fiber optic_One year,Bank transfer (automatic)_One year,49-72 months,49-72,premium,49-72_premium,0.18912552439865116,low,True,Pricing and bundle review,High monthly charges may create price sensitivity; review plan fit or targeted discount.,0
5701-GUXDC,Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,2,0,1,0,37.63846153846154,-2.238461538461543,3.594568774642695,6.887144325078013,920.4,17.7,0.037037037037037035,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,26,35.4,0,52,0,1,0,0,DSL_One year,Credit card (automatic)_One year,25-48 months,25-48,moderate,25-48_moderate,0.05874784537459748,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
7235-NXZCP,Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,2,1,0,0,78.2,-3.3500000000000085,4.328757705794541,5.058790335983303,149.7,37.425,0.3333333333333333,1,1,1,1,1,1,0,1,1,1,0,0,0,0,4,0,2,0,0.0,0,4,1,0,0,1,Fiber optic_Month-to-month,Mailed check_Month-to-month,0-12 months,0-3,high,0-3_high,0.7141253196033465,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
