subset,name,encoder,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy,best_accuracy_threshold,best_f1,best_f1_threshold,best_cost,best_cost_recall,n_features
drop_sparse_interactions,LR target,target,0.807243172193582,0.6701759837816393,0.5391304347826088,0.5971520297393191,0.850040130985505,0.6714284293079869,0.8062455642299503,0.6723549488054608,0.5267379679144385,0.5907046476761619,0.849435531788473,0.6684387920344039,939,96,177,197,0.8090844570617459,0.53,0.6300448430493274,0.31,594.0,0.93048128342246,53
all,LR target,target,0.806710627721627,0.6702800252672375,0.5351170568561873,0.5946075833937341,0.8501969644300317,0.6710383276687791,0.8019872249822569,0.6632302405498282,0.516042780748663,0.5804511278195489,0.8486656849828206,0.6686182831375439,937,98,181,193,0.808374733853797,0.54,0.630071599045346,0.36,583.0,0.9358288770053476,61
drop_sparse_interactions,LR onehot,onehot,0.8084855658225912,0.672428145315586,0.5431438127090302,0.600484713882366,0.8499568808641961,0.6707865885301867,0.8048261178140526,0.6677966101694915,0.5267379679144385,0.5889387144992526,0.8492030277196518,0.6669090084149676,937,98,177,197,0.8090844570617459,0.56,0.6291618828932262,0.33,583.0,0.9171122994652406,53
contract_value_support,LR target,target,0.8049363200373205,0.6660599760960227,0.5317725752508361,0.5911252901277114,0.8498398189284465,0.6702654610815131,0.8041163946061036,0.6666666666666666,0.5240641711229946,0.5868263473053892,0.8475238316670543,0.6683368060982368,937,98,178,196,0.8062455642299503,0.55,0.6277056277056277,0.29,586.0,0.9144385026737968,51
no_demographics,LR target,target,0.8052912446158477,0.6669309644580685,0.5324414715719064,0.5918730846924917,0.8498244679045991,0.6702568991164795,0.8034066713981547,0.6644067796610169,0.5240641711229946,0.585949177877429,0.8475134981528843,0.6681374767922856,936,99,178,196,0.8062455642299503,0.55,0.6277056277056277,0.29,586.0,0.9144385026737968,55
all,XGB,onehot,0.8052909294075187,0.6665790837321354,0.534448160535117,0.5926544490128947,0.8499022389363272,0.6683123695008668,0.8041163946061036,0.6678082191780822,0.5213903743315508,0.5855855855855856,0.8472164096205017,0.6633641824375398,938,97,179,195,0.8076650106458482,0.52,0.6428571428571429,0.33,599.0,0.9278074866310161,61
no_demographics,XGB,onehot,0.8063552303306063,0.6713566339930179,0.5304347826086957,0.5921365942028146,0.8495146951839555,0.6673979364364293,0.8026969481902059,0.6678321678321678,0.5106951871657754,0.5787878787878787,0.8468185693249632,0.6636593560062618,940,95,183,191,0.8062455642299503,0.54,0.639269406392694,0.32,605.0,0.93048128342246,55
all,LR onehot,onehot,0.8026283646519076,0.6604771485812749,0.5284280936454849,0.5864292543817535,0.8481225468277536,0.666621216264563,0.8055358410220014,0.6655629139072847,0.5374331550802139,0.5946745562130178,0.8477537523573329,0.6632728795972636,934,101,173,201,0.8105039034776437,0.55,0.6304604486422668,0.35,599.0,0.9251336898395722,61
contract_value_support,LR onehot,onehot,0.8054690221134402,0.665804936626688,0.5364548494983278,0.5937384150108558,0.8486610204985547,0.6657280818619665,0.8133427963094393,0.6831683168316832,0.553475935828877,0.6115214180206795,0.8469658219018834,0.6639691738852093,939,96,167,207,0.8133427963094393,0.5,0.6335963923337091,0.32,600.0,0.9278074866310161,51
no_demographics,LR onehot,onehot,0.8068890356358775,0.6695652743132997,0.5377926421404682,0.5960867382684857,0.8481629454671265,0.6653941531565322,0.8105039034776437,0.6765676567656765,0.5481283422459893,0.6056129985228951,0.8470639902864967,0.664074100509497,937,98,169,205,0.8105039034776437,0.5,0.634850166481687,0.31,595.0,0.9171122994652406,55
all,GB,onehot,0.8052907718033542,0.6723535801567199,0.5210702341137123,0.5868602623587986,0.8489986907623136,0.6647797423873932,0.8034066713981547,0.6632996632996633,0.5267379679144385,0.587183308494784,0.8453512103128472,0.6599093484560413,935,100,177,197,0.8048261178140526,0.51,0.6367614879649891,0.29,594.0,0.93048128342246,61
no_demographics,GB,onehot,0.8047579121230701,0.6734107937517029,0.5150501672240803,0.5832506843830267,0.8485755607675773,0.6638575567832333,0.7998580553584103,0.6575342465753424,0.5133689839572193,0.5765765765765766,0.8447221576377588,0.6612489243159295,935,100,182,192,0.8048261178140526,0.45,0.6381578947368421,0.29,599.0,0.93048128342246,55
