name,scale,poly,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy,best_accuracy_threshold,best_accuracy_f1,best_f1,best_f1_threshold,best_cost,best_cost_threshold,best_cost_recall,estimator
XGB compact 2,False,False,0.8058231586711446,0.6686056260877049,0.5331103678929765,0.5927705096612925,0.8499761358248431,0.6693112495688852,0.8062455642299503,0.6735395189003437,0.5240641711229946,0.5894736842105263,0.8477963781032836,0.666328485515235,940,95,178,196,0.8062455642299503,0.5,0.5894736842105263,0.6467203682393556,0.33,598.0,0.12,0.9278074866310161,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.75, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, feature_weights=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.018, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=2, max_leaves=None,
              min_child_weight=12, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=520, n_jobs=1,
              num_parallel_tree=None, ...)"
XGB compact 3,False,False,0.804225682859444,0.6662294537121606,0.5264214046822742,0.587796703561358,0.8501230514236733,0.6692675226338324,0.8005677785663591,0.6608996539792388,0.5106951871657754,0.5761689291101055,0.8472215763775865,0.6639857567376629,937,98,183,191,0.8062455642299503,0.52,0.5741029641185648,0.6446469248291572,0.32,601.0,0.11,0.9411764705882353,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.75, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, feature_weights=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.024, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=2, max_leaves=None,
              min_child_weight=9, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=360, n_jobs=1,
              num_parallel_tree=None, ...)"
LGBM compact 1,False,False,0.8038701278642588,0.6626629137849965,0.5324414715719064,0.5899038921030126,0.8480761220689972,0.6656929218272667,0.8090844570617459,0.6755852842809364,0.5401069518716578,0.600297176820208,0.8491965692732957,0.6616281105096036,938,97,172,202,0.8097941802696949,0.49,0.6070381231671554,0.639470782800441,0.3,596.0,0.14,0.9037433155080213,"LGBMClassifier(colsample_bytree=0.7, learning_rate=0.015, min_child_samples=70,
               n_estimators=650, num_leaves=7, random_state=42, reg_alpha=0.2,
               reg_lambda=12, subsample=0.85, verbose=-1)"
XGB compact 1,False,False,0.803515045681567,0.6695566632553989,0.51438127090301,0.5814881944939402,0.8482932279410085,0.6642027147845382,0.7984386089425124,0.65625,0.5053475935828877,0.5709969788519638,0.8434885943837351,0.6627279137028226,936,99,185,189,0.8005677785663591,0.49,0.5837037037037037,0.6329411764705882,0.35,593.0,0.13,0.9278074866310161,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.8, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, feature_weights=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.018, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=1, max_leaves=None,
              min_child_weight=10, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=700, n_jobs=1,
              num_parallel_tree=None, ...)"
HGB sweep 26 lr=0.035 leaves=8 l2=0.2,False,False,0.8029842348554219,0.6646475201737327,0.5237458193979934,0.5851597600559424,0.845925471956312,0.6591559619840768,0.8048261178140526,0.6689419795221843,0.5240641711229946,0.5877061469265368,0.8448862021752047,0.6572834116797072,938,97,178,196,0.8062455642299503,0.49,0.5967503692762186,0.6375266524520256,0.27,597.0,0.17,0.8903743315508021,"HistGradientBoostingClassifier(l2_regularization=0.2, learning_rate=0.035,
                               max_iter=300, max_leaf_nodes=8, random_state=42)"
HGB sweep 02 lr=0.018 leaves=8 l2=0.4,False,False,0.8029836044387636,0.6652654253685585,0.5224080267558529,0.5842752427548371,0.8480334044139951,0.6641943853116867,0.8097941802696949,0.6802721088435374,0.5347593582887701,0.5988023952095808,0.8477770027642152,0.6646126015323067,941,94,174,200,0.8097941802696949,0.5,0.5988023952095808,0.6391304347826087,0.29,594.0,0.14,0.9251336898395722,"HistGradientBoostingClassifier(l2_regularization=0.4, learning_rate=0.018,
                               max_iter=300, max_leaf_nodes=8, random_state=42)"
Stacking tuned 4way,False,False,0.8029829740221055,0.6701612389052827,0.5090301003344482,0.57796707104936,0.8492393726419962,0.667734511392254,0.8048261178140526,0.6761565836298933,0.5080213903743316,0.5801526717557252,0.8484564313208814,0.6675053607458156,944,91,184,190,0.8069552874378992,0.46,0.6057971014492753,0.6401869158878505,0.28,588.0,0.13,0.893048128342246,"StackingClassifier(cv=3,
                   estimators=[('hgb',
                                Pipeline(steps=[('preprocessor',
                                                 ColumnTransformer(transformers=[('numeric',
                                                                                  Pipeline(steps=[('imputer',
                                                                                                   SimpleImputer(strategy='median'))]),
                                                                                  ['SeniorCitizen',
                                                                                   'tenure',
                                                                                   'MonthlyCharges',
                                                                                   'TotalCharges',
                                                                                   'total_active_services',
                                                                                   'is_month_to_month',
                                                                                   'has_auto_payment',
                                                                                   'support_security_bundle',
                                                                                   'avg_total_charge_per_...
                                                               learning_rate=0.018,
                                                               max_bin=None,
                                                               max_cat_threshold=None,
                                                               max_cat_to_onehot=None,
                                                               max_delta_step=None,
                                                               max_depth=2,
                                                               max_leaves=None,
                                                               min_child_weight=12,
                                                               missing=nan,
                                                               monotone_constraints=None,
                                                               multi_strategy=None,
                                                               n_estimators=520,
                                                               n_jobs=1,
                                                               num_parallel_tree=None, ...))]))],
                   final_estimator=LogisticRegression(C=0.5, max_iter=2000),
                   n_jobs=1, stack_method='predict_proba')"
HGB sweep 01 lr=0.018 leaves=8 l2=0.1,False,False,0.8028059845453356,0.6640881691593682,0.5230769230769231,0.5843501472498176,0.8478515419138825,0.6640681135346785,0.8076650106458482,0.6734006734006734,0.5347593582887701,0.5961251862891207,0.8476090831589553,0.6646126194789691,938,97,174,200,0.808374733853797,0.52,0.5807453416149069,0.6398258977149075,0.29,591.0,0.13,0.9358288770053476,"HistGradientBoostingClassifier(l2_regularization=0.1, learning_rate=0.018,
                               max_iter=300, max_leaf_nodes=8, random_state=42)"
HGB sweep 21 lr=0.03 leaves=8 l2=0.1,False,False,0.8026289950685657,0.6644813011707377,0.5210702341137123,0.5834561015652635,0.8462498371853707,0.6611569279457077,0.8048261178140526,0.6655518394648829,0.5320855614973262,0.5913818722139673,0.8455410886357178,0.6591563858675807,935,100,175,199,0.8069552874378992,0.48,0.6091954022988506,0.6353944562899787,0.28,602.0,0.14,0.9117647058823529,"HistGradientBoostingClassifier(l2_regularization=0.1, learning_rate=0.03,
                               max_iter=300, max_leaf_nodes=8, random_state=42)"
HGB sweep 13 lr=0.026 leaves=8 l2=0.05,False,False,0.802273912885874,0.6617835283068805,0.5244147157190635,0.584433720762698,0.8470411978499148,0.6619398502306764,0.8048261178140526,0.6689419795221843,0.5240641711229946,0.5877061469265368,0.845453253765274,0.6576730039601854,938,97,178,196,0.8062455642299503,0.51,0.583206106870229,0.6387995712754555,0.28,591.0,0.13,0.93048128342246,"HistGradientBoostingClassifier(l2_regularization=0.05, learning_rate=0.026,
                               max_iter=300, max_leaf_nodes=8, random_state=42)"
