model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,test_threshold,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_cost
Logistic Regression (Target Encoded),0.806710627721627,0.01017557668688753,0.6702800252672375,0.024199632069379366,0.5351170568561873,0.0341071539370755,0.5946075833937341,0.025785669716093893,0.8501969644300317,0.01245829601261805,0.6710383276687791,0.018893707040381687,0.5,0.8019872249822569,0.6632302405498282,0.516042780748663,0.5804511278195489,0.8486656849828206,0.6686182831375439,937,98,181,193,1003
Stacking Ensemble,0.8091954149796454,0.011342920122805474,0.6819888791937307,0.02755929108446405,0.5270903010033444,0.037098126083911845,0.5939992962372422,0.028873568976804233,0.8508536883611457,0.012021235870859067,0.6708916142639296,0.01972234239329855,0.5,0.8076650106458482,0.6832740213523132,0.5133689839572193,0.5862595419847328,0.8492391950192462,0.6692097033648342,946,89,182,192,999
Soft Voting Ensemble,0.8081300108274061,0.010594953805703348,0.6743468629483271,0.023957945086229667,0.5357859531772575,0.033270448469420455,0.5967148163159358,0.026344500329044066,0.8507534930148495,0.011932009719165382,0.6706902094751717,0.0199332576664316,0.5,0.8055358410220014,0.6724137931034483,0.5213903743315508,0.5873493975903614,0.849006690950425,0.6691617199212208,940,95,179,195,990
Focused Voting Ensemble,0.8065337958490215,0.011091697931064064,0.6683539407989606,0.026797767827553047,0.5384615384615384,0.03507721900234621,0.5958934329735285,0.02733070632291996,0.8502794203812872,0.012886267597225005,0.6700108580193544,0.021114909621481374,0.5,0.8133427963094393,0.688135593220339,0.5427807486631016,0.6068759342301944,0.849125526363378,0.6676879139377435,943,92,171,203,947
XGBoost (No SMOTE Tuned),0.8052909294075187,0.01128921590323143,0.6665790837321354,0.029442144761881093,0.534448160535117,0.03272810654909719,0.5926544490128947,0.025626526775740326,0.8499022389363272,0.012153038596263382,0.6683123695008668,0.022637061070243884,0.5,0.8041163946061036,0.6678082191780822,0.5213903743315508,0.5855855855855856,0.8472164096205017,0.6633641824375398,938,97,179,195,992
CatBoost (No SMOTE Tuned),0.8061787136663299,0.012299363542913359,0.6712935489049123,0.03174578794770985,0.5297658862876254,0.03543256893150243,0.5915677444516867,0.028640145665632787,0.849324621375764,0.01118280242236185,0.6674793770023155,0.01986759163327922,0.5,0.8026969481902059,0.6643835616438356,0.5187165775401069,0.5825825825825826,0.8486308093724974,0.6705684530724867,937,98,180,194,998
Logistic Regression (No SMOTE),0.8026283646519076,0.010922744951269514,0.6604771485812749,0.026606208308734117,0.5284280936454849,0.03712223926558291,0.5864292543817535,0.027625395620920715,0.8481225468277536,0.013222493564201946,0.666621216264563,0.021351498173791703,0.5,0.8055358410220014,0.6655629139072847,0.5374331550802139,0.5946745562130178,0.8477537523573329,0.6632728795972636,934,101,173,201,966
CatBoost (No SMOTE Balanced),0.7527538963689576,0.010536866093055125,0.522459179799726,0.01359082162117529,0.8013377926421406,0.01764669693414436,0.6324187300535423,0.013133208244402199,0.84975854592914,0.01078927787336244,0.666544917883775,0.019773391579494155,0.5,0.7501774308019872,0.5189655172413793,0.8048128342245989,0.6310272536687631,0.8482445942804,0.6697113977959734,756,279,73,301,644
Random Forest (No SMOTE Tuned),0.8017408956014254,0.00820612849315886,0.6675738064632077,0.027133226724930227,0.5063545150501672,0.02024447618785491,0.5753849213811476,0.01554901000365617,0.8478280357501952,0.01084319668066304,0.6660063840205485,0.02198038072230557,0.5,0.8062455642299503,0.6771929824561403,0.516042780748663,0.5857359635811836,0.8464491461933916,0.6593189242254193,943,92,181,193,997
Logistic Regression (Focused Accuracy),0.8054690221134402,0.01211208401950913,0.665804936626688,0.02888616300180387,0.5364548494983278,0.03427726548580324,0.5937384150108558,0.028578800059440152,0.8486610204985547,0.013310584121817449,0.6657280818619665,0.02361376350498519,0.5,0.8133427963094393,0.6831683168316832,0.553475935828877,0.6115214180206795,0.8469658219018834,0.6639691738852093,939,96,167,207,931
Gradient Boosting (No SMOTE),0.8052907718033542,0.01039118315245867,0.6723535801567199,0.02912441631699224,0.5210702341137123,0.01908407039155464,0.5868602623587986,0.019662212045153855,0.8489986907623136,0.011956080406995008,0.6647797423873932,0.021638949377726133,0.5,0.8034066713981547,0.6632996632996633,0.5267379679144385,0.587183308494784,0.8453512103128472,0.6599093484560413,935,100,177,197,985
HistGradientBoosting (No SMOTE Tuned),0.8019183578906889,0.01049379935738806,0.6626121021617666,0.030802003120837574,0.5197324414715718,0.0338173235043867,0.5816462518398209,0.024365025740343053,0.8476269876449998,0.011472660273836947,0.6630988977517915,0.022983967132828662,0.5,0.8076650106458482,0.6734006734006734,0.5347593582887701,0.5961251862891207,0.8477162933684673,0.6638611909910483,938,97,174,200,967
Extra Trees (No SMOTE),0.79996627270879,0.010713312429269681,0.6600449935064774,0.030253029470142145,0.5096989966555183,0.015046450674517705,0.5750128890038213,0.018811679275111265,0.8470070446302665,0.010286448762467103,0.6630421773132442,0.021238379888338866,0.5,0.7998580553584103,0.652317880794702,0.5267379679144385,0.5828402366863905,0.8434123847167325,0.657259714685379,930,105,177,197,990
LightGBM (No SMOTE Tuned),0.8022732824692159,0.010449831592855141,0.6573284379689437,0.024729169912249008,0.5331103678929766,0.03543256893150242,0.5881756117726604,0.026640864481077657,0.8475770628723429,0.012197713139586565,0.6629914300587367,0.02676474847977872,0.5,0.8090844570617459,0.6755852842809364,0.5401069518716578,0.600297176820208,0.8497481205921104,0.6607425914227486,938,97,172,202,957
CatBoost (SMOTE),0.7942873218481925,0.014892107995771644,0.6119344966262765,0.029534515531173772,0.6167224080267559,0.03505169901424453,0.6139186995097574,0.02788696689684177,0.8473436980046951,0.012120928792323363,0.6613993885994398,0.02670707723730587,0.5,0.7835344215755855,0.5864661654135338,0.6256684491978609,0.6054333764553687,0.8440724379343305,0.6624032946679359,870,165,140,234,865
Logistic Regression (SMOTE),0.7559490055965238,0.013121424862953479,0.5269248585166473,0.016684870012755634,0.7859531772575251,0.028925415799919287,0.6308202741088638,0.020400895445064675,0.8452447798166945,0.014841319530478791,0.6609364267143507,0.02439800713510805,0.5,0.7437899219304471,0.5110356536502547,0.8048128342245989,0.6251298026998962,0.842788498798729,0.654442001350897,747,288,73,301,653
XGBoost (SMOTE),0.7964182877568357,0.015186587684143398,0.6148840013809553,0.03299064569802322,0.6280936454849498,0.028410382048956906,0.6209364308591949,0.024961225820551138,0.8458902222349602,0.012939598030568124,0.6561970383896482,0.02878351883579606,0.5,0.7799858055358411,0.5788177339901478,0.6283422459893048,0.6025641025641025,0.8434782608695652,0.6510256718072194,864,171,139,235,866
Random Forest (SMOTE),0.7834608613698009,0.015077577909709254,0.5743460647390666,0.024104210226307134,0.7123745819397993,0.02961330250324902,0.6358304801214771,0.02491877311518011,0.8453327827478366,0.010194278403795484,0.6557261372915846,0.025918157518214767,0.5,0.7693399574166075,0.5498981670061099,0.7219251336898396,0.6242774566473989,0.8428698752228165,0.6441877756115046,814,221,104,270,741
LightGBM (No SMOTE Balanced),0.7561250494483066,0.00657127691076255,0.5277011185739131,0.008725033225064315,0.7719063545150502,0.019999888144115144,0.6267773696057469,0.010895929266760588,0.8440740398195887,0.01129430420849049,0.6535456080653109,0.027403971700826858,0.5,0.7629524485450674,0.5355871886120996,0.8048128342245989,0.6431623931623932,0.8453692939626443,0.6599466862910761,774,261,73,301,626
SVM RBF (No SMOTE),0.8028059845453356,0.008846343875356724,0.6697690642384347,0.0263357309023112,0.5083612040133778,0.016109156627146872,0.5777656065620245,0.016402557197886483,0.7956113000415292,0.015658298162331035,0.6419714133598765,0.030789741321796002,0.5,0.8005677785663591,0.6768060836501901,0.47593582887700536,0.5588697017268446,0.795338293420135,0.6219029525416413,950,85,196,178,1065
LightGBM (SMOTE Balanced),0.7932223905084468,0.011687661765621847,0.6224852282575132,0.027560843297503804,0.5632107023411371,0.022445433759949875,0.5911146948040829,0.021365772867135913,0.8335372123177592,0.010304538475069451,0.6303523586823415,0.020499235649182202,0.5,0.7856635911994322,0.6005586592178771,0.5748663101604278,0.587431693989071,0.8304761166653749,0.6135897440795302,892,143,159,215,938
