name,smooth,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy,best_accuracy_threshold,best_accuracy_f1,best_f1,best_f1_threshold,best_cost,best_cost_threshold,best_cost_recall,estimator
LR TE,100.0,0.8070653946959894,0.6731873429618462,0.5311036789297658,0.5932555436408782,0.8500474279723417,0.6705269486597031,0.8069552874378992,0.673469387755102,0.5294117647058824,0.592814371257485,0.8488878555374719,0.6680433608649662,939,96,176,198,0.808374733853797,0.56,0.5544554455445545,0.6293532338308457,0.38,588.0,0.12,0.9331550802139037,"LogisticRegression(max_iter=2000, random_state=42, solver='liblinear')"
LR TE,5.0,0.8072426993810884,0.6701335629145577,0.5391304347826087,0.5970751965495669,0.8500038082065842,0.6703588990442604,0.8076650106458482,0.6745762711864407,0.5320855614973262,0.5949177877428998,0.849029941357307,0.6681331499198674,939,96,175,199,0.8090844570617459,0.53,0.5803432137285491,0.6305418719211823,0.38,589.0,0.12,0.9331550802139037,"LogisticRegression(max_iter=2000, random_state=42, solver='liblinear')"
LR TE,10.0,0.80759778156378,0.6721289834926034,0.537123745819398,0.5966929518838937,0.8499945130957078,0.6702719025242387,0.8076650106458482,0.6745762711864407,0.5320855614973262,0.5949177877428998,0.8489911906791702,0.6682531791752739,939,96,175,199,0.8090844570617459,0.53,0.5803432137285491,0.6305418719211823,0.38,590.0,0.12,0.9331550802139037,"LogisticRegression(max_iter=2000, random_state=42, solver='liblinear')"
LR TE,50.0,0.8074203192745164,0.673146907992163,0.5337792642140469,0.5949300858445812,0.8500393231397064,0.6702438101081786,0.8069552874378992,0.673469387755102,0.5294117647058824,0.592814371257485,0.8489756904079155,0.668223789031237,939,96,176,198,0.808374733853797,0.51,0.5896656534954408,0.6294919454770755,0.38,590.0,0.12,0.9331550802139037,"LogisticRegression(max_iter=2000, random_state=42, solver='liblinear')"
LR TE,20.0,0.807775401457208,0.6726999270484361,0.537123745819398,0.5968750058167993,0.8500272171747977,0.6702121074201128,0.8076650106458482,0.6757679180887372,0.5294117647058824,0.5937031484257871,0.8489446898654059,0.6683373033223561,940,95,176,198,0.8076650106458482,0.48,0.6100719424460431,0.6320987654320988,0.38,589.0,0.14,0.9144385026737968,"LogisticRegression(max_iter=2000, random_state=42, solver='liblinear')"
Stacking TE 4way,20.0,0.8063549151222771,0.6752554972056736,0.5217391304347826,0.5880782208798089,0.850268307373155,0.6698031787245438,0.8062455642299503,0.6771929824561403,0.516042780748663,0.5857359635811836,0.848611434033429,0.6656157331736317,943,92,181,193,0.8112136266855926,0.51,0.5895061728395061,0.6362573099415205,0.29,593.0,0.12,0.9090909090909091,"StackingClassifier(cv=3,
                   estimators=[('lr',
                                Pipeline(steps=[('preprocessor',
                                                 ColumnTransformer(transformers=[('numeric',
                                                                                  Pipeline(steps=[('imputer',
                                                                                                   SimpleImputer(strategy='median')),
                                                                                                  ('scaler',
                                                                                                   StandardScaler())]),
                                                                                  ['SeniorCitizen',
                                                                                   'tenure',
                                                                                   'MonthlyCharges',
                                                                                   'TotalCharges',
                                                                                   'total_active_services',
                                                                                   'is_month_to_month',
                                                                                   'has_auto_payment',
                                                                                   'support_security_bun...
                                                               learning_rate=0.018,
                                                               max_bin=None,
                                                               max_cat_threshold=None,
                                                               max_cat_to_onehot=None,
                                                               max_delta_step=None,
                                                               max_depth=2,
                                                               max_leaves=None,
                                                               min_child_weight=12,
                                                               missing=nan,
                                                               monotone_constraints=None,
                                                               multi_strategy=None,
                                                               n_estimators=520,
                                                               n_jobs=1,
                                                               num_parallel_tree=None, ...))]))],
                   final_estimator=LogisticRegression(C=0.5, max_iter=2000),
                   n_jobs=1, stack_method='predict_proba')"
Voting TE 4way,20.0,0.8045804498338065,0.6670916389617731,0.5277591973244147,0.5888634196709489,0.8497187973760777,0.6684506561547884,0.8034066713981547,0.6666666666666666,0.5187165775401069,0.5834586466165413,0.8475134981528842,0.6626457602514356,938,97,180,194,0.8069552874378992,0.52,0.5789473684210527,0.6395348837209303,0.34,599.0,0.12,0.9331550802139037,"VotingClassifier(estimators=[('lr',
                              Pipeline(steps=[('preprocessor',
                                               ColumnTransformer(transformers=[('numeric',
                                                                                Pipeline(steps=[('imputer',
                                                                                                 SimpleImputer(strategy='median')),
                                                                                                ('scaler',
                                                                                                 StandardScaler())]),
                                                                                ['SeniorCitizen',
                                                                                 'tenure',
                                                                                 'MonthlyCharges',
                                                                                 'TotalCharges',
                                                                                 'total_active_services',
                                                                                 'is_month_to_month',
                                                                                 'has_auto_payment',
                                                                                 'support_security_bundle',
                                                                                 'a...
                                                             grow_policy=None,
                                                             importance_type=None,
                                                             interaction_constraints=None,
                                                             learning_rate=0.018,
                                                             max_bin=None,
                                                             max_cat_threshold=None,
                                                             max_cat_to_onehot=None,
                                                             max_delta_step=None,
                                                             max_depth=2,
                                                             max_leaves=None,
                                                             min_child_weight=12,
                                                             missing=nan,
                                                             monotone_constraints=None,
                                                             multi_strategy=None,
                                                             n_estimators=520,
                                                             n_jobs=1,
                                                             num_parallel_tree=None, ...))]))],
                 n_jobs=1, voting='soft')"
RF TE,20.0,0.799611978546921,0.6614595539109878,0.5043478260869565,0.5719693912425587,0.8466646899353998,0.6669106933914096,0.7998580553584103,0.6575342465753424,0.5133689839572193,0.5765765765765766,0.8468624867601849,0.6553102039294056,935,100,182,192,0.8005677785663591,0.49,0.5873715124816447,0.635875402792696,0.28,598.0,0.15,0.9064171122994652,"RandomForestClassifier(max_depth=8, min_samples_leaf=8, n_estimators=700,
                       n_jobs=-1, random_state=42)"
RF TE,50.0,0.8003221429123043,0.6645137541547046,0.5030100334448161,0.5722310578977327,0.8469215682930272,0.6667190254841189,0.7998580553584103,0.6564625850340136,0.516042780748663,0.5778443113772455,0.8469322379808313,0.6558404999778192,934,101,181,193,0.801277501774308,0.48,0.5953757225433526,0.6381156316916489,0.28,589.0,0.14,0.9278074866310161,"RandomForestClassifier(max_depth=8, min_samples_leaf=8, n_estimators=700,
                       n_jobs=-1, random_state=42)"
RF TE,10.0,0.7997897560445137,0.663402256233642,0.5023411371237458,0.5712789598091799,0.8467155627302422,0.6666845324075243,0.8019872249822569,0.6632302405498282,0.516042780748663,0.5804511278195489,0.847144075021313,0.6557327575710679,937,98,181,193,0.8019872249822569,0.5,0.5804511278195489,0.6381156316916489,0.28,592.0,0.13,0.9331550802139037,"RandomForestClassifier(max_depth=8, min_samples_leaf=8, n_estimators=700,
                       n_jobs=-1, random_state=42)"
