threshold,accuracy,precision,recall,f1,false_positive,false_negative,true_positive,true_negative,business_cost
0.05,0.5117104329311568,0.35076045627376423,0.9866310160427807,0.517531556802244,683,5,369,352,708
0.06,0.5379701916252662,0.36273538156590684,0.9786096256684492,0.5292841648590022,643,8,366,392,683
0.07,0.5649396735273243,0.3761658031088083,0.9705882352941176,0.5421956684092606,602,11,363,433,657
0.08,0.5805535841022001,0.384204909284952,0.9625668449197861,0.5491990846681922,577,14,360,458,647
0.09,0.5997161107168204,0.39514348785871967,0.9572192513368984,0.559375,548,16,358,487,628
0.1,0.6224272533711852,0.40898617511520735,0.9491978609625669,0.571658615136876,513,19,355,522,608
0.11,0.6337828246983677,0.4160756501182033,0.9411764705882353,0.5770491803278689,494,22,352,541,604
0.12,0.6458481192334989,0.423500611995104,0.9251336898395722,0.581024349286314,471,28,346,564,611
0.13,0.6621717530163236,0.4356060606060606,0.9224598930481284,0.5917667238421955,447,29,345,588,592
0.14,0.6756564939673527,0.44575163398692813,0.9117647058823529,0.5987708516242318,424,33,341,611,589
0.15,0.6841731724627396,0.4519621109607578,0.893048128342246,0.6001796945193172,405,40,334,630,605
0.16,0.6905606813342796,0.45694444444444443,0.8796791443850267,0.6014625228519196,391,45,329,644,616
0.17,0.6969481902058198,0.4625176803394625,0.8743315508021391,0.6049953746530989,380,47,327,655,615
0.18,0.7054648687012065,0.4703328509406657,0.8689839572192514,0.6103286384976526,366,49,325,669,611
0.19,0.71611071682044,0.48059701492537316,0.8609625668449198,0.6168582375478927,348,52,322,687,608
0.2,0.71611071682044,0.4801223241590214,0.839572192513369,0.6108949416342413,340,60,314,695,640
0.21,0.7217885024840313,0.4860248447204969,0.8368983957219251,0.6149312377210217,331,61,313,704,636
0.22,0.7310149041873669,0.4960254372019078,0.8342245989304813,0.6221335992023929,317,62,312,718,627
0.23,0.7374024130589071,0.5032679738562091,0.8235294117647058,0.6247464503042597,304,66,308,731,634
0.24,0.7381121362668559,0.5041186161449753,0.8181818181818182,0.6238532110091743,301,68,306,734,641
0.25,0.7423704755145494,0.509212730318258,0.8128342245989305,0.6261585993820803,293,70,304,742,643
0.26,0.7480482611781405,0.5161290322580645,0.8128342245989305,0.6313603322949117,285,70,304,750,635
0.27,0.7530163236337828,0.5225694444444444,0.8048128342245989,0.6336842105263157,275,73,301,760,640
0.28,0.751596877217885,0.5210526315789473,0.7941176470588235,0.6292372881355932,273,77,297,762,658
0.29,0.7508871540099361,0.5205724508050089,0.7780748663101604,0.6237942122186495,268,83,291,767,683
0.3,0.759403832505323,0.5324675324675324,0.767379679144385,0.628696604600219,252,87,287,783,687
0.31,0.7636621717530163,0.5391969407265774,0.7540106951871658,0.6287625418060201,241,92,282,794,701
0.32,0.7672107877927609,0.5445736434108527,0.7513368983957219,0.6314606741573033,235,93,281,800,700
0.33,0.772888573456352,0.5537848605577689,0.7433155080213903,0.634703196347032,224,96,278,811,704
0.34,0.7764371894960965,0.5603271983640081,0.732620320855615,0.6349942062572422,215,100,274,820,715
0.35,0.7792760823278921,0.5663157894736842,0.7192513368983957,0.6336866902237926,206,105,269,829,731
0.36,0.7785663591199432,0.5670995670995671,0.7005347593582888,0.6267942583732058,200,112,262,835,760
0.37,0.7814052519517388,0.5743243243243243,0.6818181818181818,0.6234718826405868,189,119,255,846,784
0.38,0.7828246983676366,0.5787037037037037,0.6684491978609626,0.6203473945409429,182,124,250,853,802
0.39,0.7856635911994322,0.5861244019138756,0.6550802139037433,0.6186868686868687,173,129,245,862,818
0.4,0.7863733144073811,0.5896805896805897,0.6417112299465241,0.614596670934699,167,134,240,868,837
0.41,0.78708303761533,0.5934343434343434,0.6283422459893048,0.6103896103896104,161,139,235,874,856
